  Revised: Saturday, September 18, 2021
          Revision: 







Design Name:  E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN

Export Placement        September 18,2021      16:47:18,Page1

Item,Reference,Part,SchematicName,Sheet,Library,X,Y
35,U134C,CD4071B,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 23.70, 11.40
36,U134D,CD4071B,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 17.60, 7.30
37,U135A,CD4071B,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 17.60, 11.40
38,U135B,CD4071B,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 17.60, 9.30
39,U136A,CD4081B,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 24.30, 6.50
40,U136B,CD4081B,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 24.40, 7.10
41,U136C,CD4081B,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 26.40, 7.80
42,U136D,CD4081B,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 23.20, 9.20
43,U137A,CD4081B,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 22.40, 10.20
44,U137B,CD4081B,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 22.00, 11.60
45,U137C,CD4081B,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 22.80, 12.40
46,U137D,CD4081B,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 22.80, 13.00
47,U138A,CD4081B,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 17.60, 7.80
48,U138B,CD4081B,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 17.60, 8.30
49,U138C,CD4081B,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 17.60, 12.10
50,U138D,CD4081B,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 17.60, 12.70
51,U139A,CD4081B,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 4.00, 13.60
52,U140A,CD4520B,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 5.50, 13.50
53,U140B,CD4520B,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 5.50, 15.10
54,U141A,CD40106B,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 8.00, 5.80
55,U141B,CD40106B,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 8.70, 5.80
56,U141C,CD40106B,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 12.50, 0.90
57,U141D,CD40106B,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 14.50, 0.70
58,U142A,MC1458,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 4.20, 5.80
59,U142B,MC1458,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 5.60, 5.50
60,U143A,CD4066BM,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 2.00, 7.70
61,U143B,CD4066BM,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 2.00, 6.40
62,U143C,CD4066BM,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 3.90, 4.70
63,U144A,CD4027B,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 23.20, 6.50
64,U144B,CD4027B,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 27.70, 7.40
65,U145A,CD4027B,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 13.50, 0.60
66,U146A,CD4069/SO,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 5.00, 10.90
67,U146B,CD4069/SO,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 5.00, 11.60
68,U146C,CD4069/SO,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 5.00, 12.20
69,U146D,CD4069/SO,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 5.00, 12.80
70,U146E,CD4069/SO,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 17.60, 10.20
71,U146F,CD4069/SO,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 17.70, 14.00
72,U147A,LM2903/SO,/adc,1,C:\CADENCE\SPB_17.4\TOOLS\CAPTURE\LIBRARY\OPAMP.OLB, 6.80, 5.70
73,Y1,OSC14A,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN, 11.50, 1.00
